wellName;datasetName;DEPTH;BOREHOLE_AZIMUTH_GN;BOREHOLE_DEVIATION;GR;LIT;RACHM;RACLM;RACSHM;RACSLM;ROP_AVG;RPCHM;RPCLM;RPCSHM;RPCSLM;RPTH1M;RPTHM;TCDM;TVD;TVDSS
;;m;°;°;API;unitless;ohm.m;ohm.m;ohm.m;ohm.m;m/hr;ohm.m;ohm.m;ohm.m;ohm.m;hr;min;degC;m;m
fff30GS;42230GS;3272,5;-9999;76,8229060340801;71,24;-9999;6008,312;0,312;0,055;-0,037;18,75;61625,289;0,362;0,185000002384186;0,218999996781349;;1,2;81,3;2644,97;2590,73
fff30GS;42230GS;3272,6;-9999;76,8301642006954;72,58;-9999;6008,312;0,563;0,055;-0,038;19,18;61625,289;22260,192;0,193000003695488;0,234999999403954;;1,2;81,3;2645;2590,76
fff30GS;42230GS;3272,7;-9999;76,8374223689562;68,32;-9999;6008,312;0,644;0,055;-0,037;19,52;61625,289;44519,973;0,202000007033348;0,24099999666214;;1,2;81,2;2645,02;2590,78
fff30GS;42230GS;3272,8;-9999;76,8446805388615;69,17;-9999;6008,312;0,556;0,059;-0,034;19,77;61625,289;0,117;0,204999998211861;0,266000002622604;;1,2;81,2;2645,05;2590,81
fff30GS;42230GS;3272,9;-9999;76,8519387104104;70,21;-9999;6008,312;0,756;0,054;-0,036;20,04;61625,289;22260,315;0,209000006318092;0,261000007390976;;1,2;81,2;2645,08;2590,84
fff30GS;42230GS;3273;-9999;76,8591968836016;68,24;-9999;6008,312;0,392;0,054;-0,034;20,44;61625,289;4,105;0,203999996185303;0,257999986410141;;1,2;81,1;2645,1;2590,86
fff30GS;42230GS;3273,1;-9999;76,8664550584343;65,72;-9999;6008,312;0,376;0,053;-0,038;19,97;61625,289;44519,973;0,20100000500679;0,254999995231628;;1,2;81,1;2645,13;2590,89
fff30GS;42230GS;3273,2;-9999;76,8737132349074;62,48;-9999;6008,312;0,776;0,054;-0,038;19,74;61625,289;14840,666;0,185000002384186;0,224999994039536;;1,2;81;2645,16;2590,92
fff30GS;42230GS;3273,3;-9999;76,8809714130198;63,11;-9999;6008,312;0,781;0,054;-0,042;19,29;61625,289;0,226;0,193000003695488;0,219999998807907;;1,2;81;2645,19;2590,95
fff30GS;42230GS;3273,4;-9999;76,8882295927705;64,38;-9999;6008,312;0,622;0,053;-0,037;19,4;61625,289;0,306;0,202000007033348;0,233999997377396;;1,2;81;2645,21;2590,97
fff30GS;42230GS;3273,5;-9999;76,8954877741584;64,96;-9999;6008,312;0,703;0,053;-0,035;19,14;61625,289;22261,703;0,202000007033348;0,246999993920326;;1,2;80,9;2645,24;2591
fff30GS;42230GS;3273,6;-9999;76,9027459571826;63,4;-9999;6008,312;0,673;0,054;-0,037;18,13;61625,289;16,24;0,188999995589256;0,239999994635582;;1,2;80,9;2645,27;2591,03
fff30GS;42230GS;3273,7;-9999;76,9100041418421;60,43;-9999;6008,312;1,006;0,051;-0,043;18,07;61625,289;0,161;0,19200000166893;0,229000002145767;;1,2;80,8;2645,29;2591,05
fff30GS;42230GS;3273,8;-9999;76,92244982151;57,27;-9999;6008,312;0,559;0,052;-0,042;17,94;61625,289;0,081;0,202999994158745;0,215000003576279;;1,2;80,8;2645,01;2590,77
fff30GS;42230GS;3273,9;-9999;76,9348955258213;57,66;-9999;6008,312;0,502;0,053;-0,034;17,49;61625,289;0,148;0,188999995589256;0,218999996781349;;1,2;80,6;2645,04;2590,8
fff30GS;42230GS;3274;-9999;76,9473412546514;60,16;-9999;6008,312;0,785;0,052;-0,038;17,34;61625,289;1,159;0,184000000357628;0,230000004172325;;1,2;80,4;2645,06;2590,82
fff30GS;42230GS;3274,1;-9999;76,9597870079736;65,18;-9999;6008,312;1,116;0,053;-0,037;17,02;61625,289;44519,973;0,180999994277954;0,216000005602837;;1,2;80,2;2645,09;2590,85
fff30GS;42230GS;3274,2;-9999;76,9722327857614;63,01;-9999;6008,312;0,654;0,052;-0,038;17,44;61625,289;0,685;0,18299999833107;0,222000002861023;;1,2;80;2645,12;2590,88
fff30GS;42230GS;3274,3;-9999;76,984678587988;63,69;-9999;6008,312;0,879;0,051;-0,037;17,66;61625,289;0,112;0,181999996304512;0,214000001549721;;1,2;79,8;2645,14;2590,9
fff30GS;42230GS;3274,4;-9999;76,9971244146269;66,25;-9999;6008,312;0,719;0,052;-0,037;18,13;61625,289;44519,973;0,203999996185303;0,216000005602837;;1,2;79,6;2645,18;2590,94
fff30GS;42230GS;3274,5;-9999;77,0095702656515;63,39;-9999;6008,312;0,587;0,052;-0,035;18,39;61625,289;0,189;0,197999998927116;0,203999996185303;;1,2;79,4;2645,21;2590,97
fff30GS;42230GS;3274,6;-9999;77,022016141035;63,63;-9999;6008,312;0,545;0,05;-0,037;18,51;61625,289;0,34;0,174999997019768;0,197999998927116;;1,2;79,2;2645,23;2590,99
fff30GS;42230GS;3274,7;-9999;77,0344620407511;62,64;-9999;6008,312;866,002;0,051;-0,039;18,5;61625,289;14849,33;0,20100000500679;0,194000005722046;;1,1;79,2;2645,25;2591,01
fff30GS;42230GS;3274,8;-9999;77,0469079647729;62,4;-9999;6008,312;0,445;0,051;-0,042;2,49;61625,289;0,476;0,204999998211861;0,238999992609024;;0,9;79,1;2645,28;2591,04
fff30GS;42230GS;3274,9;-9999;77,0593539130741;59,93;-9999;6008,312;0,932;0,051;-0,043;4,76;61625,289;0,039;0,17399999499321;0,194999992847443;;1;79,1;2645,31;2591,07
fff30GS;42230GS;3275;-9999;77,071799885628;60,85;-9999;6008,312;0,528;0,049;-0,042;6,48;61625,289;14840,101;0,186000004410744;0,195999994874001;;1,1;79,1;2645,33;2591,09
fff30GS;42230GS;3275,1;-9999;77,084245882408;61,11;-9999;6008,312;0,873;0,049;-0,044;7,65;61625,289;0,154;0,181999996304512;0,188999995589256;;1,1;79,1;2645,36;2591,12
fff30GS;42230GS;3275,2;-9999;77,0966919033877;63,02;-9999;6008,312;0,556;0,05;-0,042;8,74;61625,289;22262,021;0,184000000357628;0,185000002384186;;1,1;79;2645,39;2591,15
fff30GS;42230GS;3275,3;-9999;77,1091379485405;63,22;-9999;6008,312;0,472;0,05;-0,039;10,31;61625,289;0,179;0,19200000166893;0,187000006437302;;1,1;79;2645,41;2591,17
